regn_no,semester,subject_code,credits,grade_point,grade
2311034,3,CE 203,3,10.0,AA
2311034,3,CE 204,4,9.0,AB
2311034,3,CE 205,3,7.0,BC
2311034,3,CE 211,2,10.0,AA
2311034,3,CE 212,2,10.0,AA
2311034,3,CE 213,2,8.0,BB
2311034,3,MA 201,4,8.0,BB
2311035,3,CE 201,4,7.0,BC
2311035,3,CE 202,3,9.0,AB
2311035,3,CE 203,3,9.0,AB
2311035,3,CE 204,4,9.0,AB
2311035,3,CE 205,3,7.0,BC
2311035,3,CE 211,2,10.0,AA
2311035,3,CE 212,2,10.0,AA
2311035,3,CE 213,2,10.0,AA
2311035,3,MA 201,4,6.0,CC
2311036,3,CE 201,4,8.0,BB
2311036,3,CE 202,3,9.0,AB
2311036,3,CE 203,3,9.0,AB
2311036,3,CE 204,4,8.0,BB
2311036,3,CE 205,3,6.0,CC
2311036,3,CE 211,2,10.0,AA
2311036,3,CE 212,2,10.0,AA
2311036,3,CE 213,2,9.0,AB
2311036,3,MA 201,4,6.0,CC
2311037,3,CE 201,4,8.0,BB
2311037,3,CE 202,3,9.0,AB
2311037,3,CE 203,3,9.0,AB
2311037,3,CE 204,4,9.0,AB
2311037,3,CE 205,3,8.0,BB
2311037,3,CE 211,2,10.0,AA
2311037,3,CE 212,2,10.0,AA
2311037,3,CE 213,2,8.0,BB
2311037,3,MA 201,4,8.0,BB
2311038,3,CE 201,4,9.0,AB
2311038,3,CE 202,3,10.0,AA
2311038,3,CE 203,3,10.0,AA
2311038,3,CE 204,4,10.0,AA
2311038,3,CE 205,3,9.0,AB
2311038,3,CE 211,2,10.0,AA
2311038,3,CE 212,2,9.0,AB
2311038,3,CE 213,2,9.0,AB
2311038,3,MA 201,4,9.0,AB
2311039,3,CE 201,4,6.0,CC
2311039,3,CE 202,3,5.0,CD
2311039,3,CE 203,3,5.0,CD
2311039,3,CE 204,4,8.0,BB
2311039,3,CE 205,3,4.0,DD
2311039,3,CE 211,2,10.0,AA
2311039,3,CE 212,2,9.0,AB
2311039,3,CE 213,2,5.0,CD
2311039,3,MA 201,4,5.0,CD
2311040,3,CE 201,4,5.0,CD
2311040,3,CE 202,3,4.0,DD
2311040,3,CE 203,3,4.0,DD
2311040,3,CE 204,4,5.0,CD
2311040,3,CE 205,3,0.0,F
2311040,3,CE 211,2,10.0,AA
2311040,3,CE 212,2,9.0,AB
2311040,3,CE 213,2,8.0,BB
2311040,3,MA 201,4,0.0,F
2311042,3,CE 201,4,8.0,BB
2311042,3,CE 202,3,6.0,CC
2311042,3,CE 203,3,6.0,CC
2311042,3,CE 204,4,6.0,CC
2311042,3,CE 205,3,7.0,BC
2311042,3,CE 211,2,10.0,AA
2311042,3,CE 212,2,8.0,BB
2311042,3,CE 213,2,8.0,BB
2311042,3,MA 201,4,6.0,CC
2311043,3,CE 201,4,7.0,BC
2311043,3,CE 202,3,9.0,AB
2311043,3,CE 203,3,7.0,BC
2311043,3,CE 204,4,8.0,BB
2311043,3,CE 205,3,6.0,CC
2311043,3,CE 211,2,10.0,AA
2311043,3,CE 212,2,9.0,AB
2311043,3,CE 213,2,9.0,AB
2311043,3,MA 201,4,7.0,BC
2311044,3,CE 201,4,6.0,CC
2311044,3,CE 202,3,8.0,BB
2311044,3,CE 203,3,7.0,BC
2311044,3,CE 204,4,9.0,AB
2311044,3,CE 205,3,6.0,CC
2311044,3,CE 211,2,10.0,AA
2311044,3,CE 212,2,10.0,AA
2311044,3,CE 213,2,10.0,AA
2311044,3,MA 201,4,5.0,CD
2311045,3,CE 201,4,0.0,F
2311045,3,CE 202,3,6.0,CC
2311045,3,CE 203,3,4.0,DD
2311045,3,CE 204,4,5.0,CD
2311045,3,CE 205,3,0.0,F
2311045,3,CE 211,2,10.0,AA
