Slno,Regn. No.,"CE
102",(3),"CH
101",(4),"CH
111",(2),"CS
101",(4),"CS
111",(2),EAA01,(0),EAA02,(0),"EC
101",(4),"EC
111",(2),"MA
102",(4),"ME
111",(2),GP,SGPA,CGPA,EAA
81,2313081,5,CD,4,DD,9,AB,8,BB,7,BC,4,DD,0,F,5,CD,4,DD,131,4.68,4.62,-
82,2313082,7,BC,4,DD,9,AB,9,AB,9,AB,7,BC,4,DD,5,CD,8,BB,180,6.43,6.51,-
83,2313083,8,BB,6,CC,9,AB,10,AA,8,BB,9,AB,6,CC,9,AB,9,AB,226,8.07,8.45,-
84,2313084,5,CD,0,F,9,AB,8,BB,7,BC,6,CC,0,F,4,DD,6,CC,123,4.39,4.98,-
85,2313085,5,CD,4,DD,9,AB,8,BB,9,AB,8,BB,4,DD,6,CC,8,BB,179,6.39,6.44,-
86,2313086,8,BB,8,BB,9,AB,7,BC,9,AB,9,AB,5,CD,8,BB,8,BB,217,7.75,8.2,-
87,2313087,9,AB,7,BC,10,AA,8,BB,9,AB,9,AB,9,AB,9,AB,9,AB,243,8.68,8.55,-
88,2313089,9,AB,6,CC,9,AB,7,BC,9,AB,8,BB,5,CD,6,CC,10,AA,204,7.29,7.22,-
89,2313090,9,AB,8,BB,9,AB,9,AB,9,AB,9,AB,7,BC,10,AA,9,AB,244,8.71,8.45,-
90,2313091,8,BB,5,CD,10,AA,9,AB,9,AB,6,CC,4,DD,8,BB,8,BB,197,7.04,7.15,-
91,2313092,8,BB,6,CC,9,AB,8,BB,8,BB,7,BC,4,DD,5,CD,7,BC,184,6.57,6.93,-
92,2313093,8,BB,6,CC,8,BB,8,BB,9,AB,8,BB,5,CD,4,DD,5,CD,184,6.57,6.44,-
93,2313094,8,BB,6,CC,9,AB,7,BC,8,BB,6,CC,4,DD,4,DD,4,DD,167,5.96,6.04,-
94,2313095,8,BB,7,BC,9,AB,8,BB,8,BB,9,AB,6,CC,6,CC,9,AB,212,7.57,7.84,-
95,2313096,8,BB,6,CC,9,AB,8,BB,8,BB,7,BC,4,DD,7,BC,9,AB,196,7.00,6.78,-
96,2313097,8,BB,6,CC,10,AA,9,AB,8,BB,6,CC,5,CD,6,CC,8,BB,195,6.96,6.76,-
97,2313098,9,AB,9,AB,9,AB,9,AB,8,BB,9,AB,6,CC,8,BB,9,AB,234,8.36,8.45,-
98,2313099,10,AA,8,BB,10,AA,8,BB,8,BB,9,AB,6,CC,8,BB,7,BC,228,8.14,8.22,-
99,2313100,9,AB,8,BB,9,AB,9,AB,8,BB,8,BB,6,CC,8,BB,7,BC,222,7.93,7.64,-
100,2313101,9,AB,5,CD,9,AB,7,BC,6,CC,5,CD,4,DD,4,DD,7,BC,164,5.86,5.91,-
101,2313102,8,BB,8,BB,9,AB,8,BB,7,BC,8,BB,5,CD,6,CC,7,BC,202,7.21,7.56,-
102,2313103,9,AB,6,CC,10,AA,9,AB,7,BC,8,BB,7,BC,6,CC,9,AB,214,7.64,6.91,-
103,2313104,8,BB,7,BC,9,AB,7,BC,7,BC,5,CD,0,F,5,CD,5,CD,155,5.54,5.82,-
104,2313105,8,BB,5,CD,8,BB,7,BC,7,BC,6,CC,4,DD,5,CD,8,BB,171,6.11,6.42,-
105,2313106,8,BB,8,BB,9,AB,7,BC,7,BC,9,AB,6,CC,6,CC,9,AB,211,7.54,7.51,-
106,2313107,9,AB,6,CC,8,BB,8,BB,7,BC,7,BC,5,CD,4,DD,8,BB,185,6.61,6.6,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
107,2313108,10,AA,9,AB,9,AB,8,BB,9,AB,9,AB,6,CC,9,AB,10,AA,242,8.64,8.93,-
108,2313109,10,AA,8,BB,9,AB,7,BC,9,AB,8,BB,6,CC,8,BB,9,AB,225,8.04,8.09,-
109,2313110,7,BC,8,BB,9,AB,7,BC,8,BB,8,BB,6,CC,7,BC,6,CC,204,7.29,7.05,-
110,2313111,7,BC,7,BC,8,BB,7,BC,8,BB,7,BC,4,DD,6,CC,7,BC,184,6.57,6.95,-
111,2313112,0,I,0,I,9,AB,0,F,8,BB,0,F,0,I,0,I,7,BC,48,1.71,4.04,-
112,2313113,8,BB,8,BB,9,AB,10,AA,8,BB,10,AA,8,BB,10,AA,8,BB,248,8.86,8.93,-
113,2313114,6,CC,5,CD,9,AB,7,BC,8,BB,5,CD,4,DD,4,DD,8,BB,161,5.75,5.96,-
114,2313115,9,AB,8,BB,9,AB,7,BC,7,BC,8,BB,8,BB,8,BB,9,AB,226,8.07,7.96,-
115,2313116,9,AB,7,BC,9,AB,8,BB,6,CC,9,AB,5,CD,8,BB,10,AA,217,7.75,7.96,-
116,2313117,9,AB,9,AB,9,AB,10,AA,7,BC,9,AB,9,AB,8,BB,8,BB,245,8.75,9.18,-
117,2313118,8,BB,8,BB,9,AB,9,AB,6,CC,9,AB,7,BC,9,AB,9,AB,231,8.25,8.53,-
118,2313119,9,AB,8,BB,10,AA,10,AA,7,BC,9,AB,7,BC,10,AA,8,BB,243,8.68,8.85,-
119,2313120,9,AB,8,BB,10,AA,8,BB,7,BC,8,BB,7,BC,5,CD,9,AB,215,7.68,7.55,-
120,2313121,8,BB,8,BB,10,AA,9,AB,7,BC,9,AB,6,CC,9,AB,7,BC,227,8.11,8.16,-
121,2313122,7,BC,6,CC,9,AB,6,CC,6,CC,5,CD,0,F,4,DD,4,DD,137,4.89,4.82,-
122,2313123,8,BB,6,CC,9,AB,5,CD,6,CC,8,BB,4,DD,5,CD,7,BC,175,6.25,6.09,-
123,2313124,9,AB,8,BB,9,AB,8,BB,7,BC,8,BB,5,CD,8,BB,8,BB,215,7.68,7.56,-
124,2313125,6,CC,6,CC,9,AB,6,CC,7,BC,7,BC,6,CC,4,DD,4,DD,168,6.00,5.82,-
125,2313126,9,AB,8,BB,9,AB,9,AB,7,BC,7,BC,5,CD,7,BC,8,BB,210,7.50,7.47,-
126,2313127,8,BB,4,DD,8,BB,6,CC,6,CC,7,BC,0,F,0,F,5,CD,124,4.43,4.89,-
127,2313128,7,BC,7,BC,9,AB,7,BC,7,BC,6,CC,5,CD,6,CC,8,BB,186,6.64,6.76,-
128,2313129,6,CC,6,CC,9,AB,7,BC,8,BB,7,BC,5,CD,7,BC,6,CC,185,6.61,6.38,-
129,2313130,8,BB,5,CD,9,AB,8,BB,8,BB,7,BC,4,DD,7,BC,8,BB,190,6.79,6.76,-
130,2313132,7,BC,6,CC,9,AB,7,BC,7,BC,5,CD,0,F,4,DD,7,BC,148,5.29,5.56,-
131,2313133,7,BC,7,BC,8,BB,7,BC,8,BB,7,BC,4,DD,5,CD,7,BC,180,6.43,6.47,-
132,2313134,7,BC,5,CD,7,BC,6,CC,8,BB,6,CC,4,DD,0,F,0,F,129,4.61,4.85,-
133,2313135,6,CC,6,CC,9,AB,7,BC,7,BC,5,CD,0,F,4,DD,4,DD,139,4.96,5.11,-
134,2313136,7,BC,7,BC,9,AB,9,AB,8,BB,6,CC,4,DD,4,DD,7,BC,180,6.43,6.6,-
135,2313137,6,CC,5,CD,8,BB,5,CD,7,BC,7,BC,6,CC,4,DD,7,BC,165,5.89,5.55,-
136,2313138,9,AB,8,BB,10,AA,10,AA,8,BB,9,AB,7,BC,9,AB,9,AB,243,8.68,8.82,-
137,2313139,9,AB,7,BC,9,AB,7,BC,8,BB,9,AB,7,BC,5,CD,8,BB,210,7.50,6.95,-
138,2313140,8,BB,7,BC,9,AB,9,AB,8,BB,6,CC,5,CD,5,CD,7,BC,191,6.82,6.85,-
139,2313141,9,AB,7,BC,9,AB,8,BB,6,CC,9,AB,7,BC,8,BB,9,AB,223,7.96,8.11,-
140,2313142,8,BB,8,BB,10,AA,9,AB,7,BC,9,AB,6,CC,8,BB,8,BB,225,8.04,8.07,-
141,2313143,8,BB,8,BB,10,AA,9,AB,7,BC,9,AB,7,BC,8,BB,8,BB,229,8.18,8.47,-
142,2313144,7,BC,6,CC,9,AB,10,AA,8,BB,9,AB,5,CD,6,CC,10,AA,209,7.46,7.2,-
143,2313145,9,AB,7,BC,9,AB,9,AB,7,BC,9,AB,8,BB,8,BB,8,BB,230,8.21,7.96,-
144,2313146,8,BB,7,BC,7,BC,9,AB,8,BB,8,BB,5,CD,5,CD,8,BB,197,7.04,6.98,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
145,2313147,9,AB,9,AB,10,AA,10,AA,8,BB,8,BB,6,CC,10,AA,9,AB,243,8.68,8.62,-
146,2313148,9,AB,8,BB,9,AB,10,AA,9,AB,9,AB,7,BC,9,AB,9,AB,243,8.68,8.76,-
147,2313149,9,AB,8,BB,9,AB,9,AB,9,AB,8,BB,5,CD,8,BB,9,AB,224,8.00,8.09,-
148,2313150,8,BB,7,BC,9,AB,8,BB,8,BB,8,BB,4,DD,5,CD,8,BB,194,6.93,6.58,-
149,2313151,8,BB,8,BB,8,BB,8,BB,8,BB,7,BC,7,BC,7,BC,6,CC,208,7.43,7.31,-
150,2313152,8,BB,5,CD,8,BB,6,CC,7,BC,7,BC,4,DD,6,CC,7,BC,174,6.21,5.95,-
151,2313153,8,BB,8,BB,10,AA,8,BB,8,BB,9,AB,7,BC,9,AB,8,BB,232,8.29,8.07,-
152,2313154,9,AB,8,BB,10,AA,7,BC,7,BC,9,AB,6,CC,9,AB,9,AB,228,8.14,8.16,-
153,2313155,9,AB,7,BC,9,AB,7,BC,8,BB,8,BB,6,CC,7,BC,9,AB,212,7.57,7.33,-
154,2313156,8,BB,7,BC,10,AA,8,BB,7,BC,8,BB,6,CC,7,BC,9,AB,212,7.57,7.2,-
155,2313157,0,F,5,CD,8,BB,7,BC,6,CC,6,CC,4,DD,6,CC,0,F,133,4.75,5.02,-
156,2313159,9,AB,7,BC,9,AB,8,BB,6,CC,8,BB,6,CC,7,BC,9,AB,211,7.54,7.56,-
157,2313160,9,AB,8,BB,9,AB,6,CC,6,CC,8,BB,7,BC,6,CC,8,BB,207,7.39,7.35,-
158,2313161,8,BB,5,CD,9,AB,7,BC,8,BB,6,CC,0,F,6,CC,7,BC,161,5.75,5.55,-
159,2313162,4,DD,0,F,8,BB,4,DD,7,BC,0,F,0,F,0,F,5,CD,64,2.29,2.42,-
160,2313163,5,CD,0,F,8,BB,7,BC,6,CC,0,F,0,F,0,F,5,CD,74,2.64,3.11,-
161,2313164,7,BC,4,DD,9,AB,6,CC,6,CC,4,DD,0,F,0,F,5,CD,111,3.96,3.47,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
1,2214086,,,0,F,0,F,,,,,0,F,0,F,0,F,,,0,1.61,1.67,-
2,2314001,7,BC,7,BC,9,AB,9,AB,7,BC,8,BB,6,CC,6,CC,9,AB,206,7.36,7.73,-
3,2314002,7,BC,5,CD,9,AB,8,BB,8,BB,6,CC,4,DD,5,CD,9,AB,177,6.32,6.2,-
4,2314003,8,BB,8,BB,10,AA,8,BB,7,BC,7,BC,4,DD,8,BB,8,BB,206,7.36,7,-
5,2314004,10,AA,8,BB,9,AB,9,AB,8,BB,7,BC,7,BC,7,BC,10,AA,227,8.11,8.18,-
6,2314005,7,BC,7,BC,9,AB,9,AB,7,BC,8,BB,6,CC,6,CC,9,AB,206,7.36,7.09,-
7,2314006,8,BB,8,BB,9,AB,8,BB,7,BC,7,BC,6,CC,6,CC,10,AA,208,7.43,7.38,-
8,2314007,8,BB,6,CC,9,AB,9,AB,6,CC,7,BC,5,CD,5,CD,7,BC,187,6.68,6.93,-
9,2314008,8,BB,5,CD,9,AB,6,CC,9,AB,4,DD,4,DD,6,CC,9,AB,172,6.14,6.16,-
10,2314009,8,BB,5,CD,9,AB,6,CC,7,BC,5,CD,5,CD,6,CC,8,BB,174,6.21,6.45,-
11,2314010,9,AB,8,BB,9,AB,9,AB,7,BC,7,BC,5,CD,8,BB,10,AA,218,7.79,7.67,-
12,2314011,6,CC,0,F,7,BC,7,BC,8,BB,4,DD,0,F,0,F,5,CD,95,3.39,3.85,-
13,2314012,9,AB,9,AB,9,AB,10,AA,9,AB,8,BB,6,CC,9,AB,9,AB,239,8.54,8.33,-
14,2314013,8,BB,8,BB,9,AB,8,BB,9,AB,8,BB,7,BC,8,BB,9,AB,226,8.07,7.95,-
15,2314014,9,AB,9,AB,9,AB,9,AB,10,AA,10,AA,7,BC,8,BB,10,AA,248,8.86,8.64,-
16,2314015,7,BC,8,BB,9,AB,9,AB,9,AB,9,AB,5,CD,8,BB,9,AB,222,7.93,8.07,-
17,2314016,7,BC,8,BB,9,AB,10,AA,9,AB,10,AA,7,BC,9,AB,9,AB,241,8.61,8.51,-
18,2314017,10,AA,8,BB,9,AB,9,AB,9,AB,9,AB,6,CC,9,AB,10,AA,241,8.61,8.42,-
19,2314018,10,AA,7,BC,9,AB,9,AB,8,BB,8,BB,4,DD,5,CD,9,AB,205,7.32,7.2,-
20,2314019,8,BB,7,BC,9,AB,9,AB,9,AB,7,BC,5,CD,5,CD,8,BB,199,7.11,7.04,-
21,2314020,8,BB,8,BB,9,AB,9,AB,10,AA,9,AB,7,BC,8,BB,10,AA,237,8.46,8.44,-
22,2314021,5,CD,0,F,9,AB,6,CC,8,BB,0,F,0,F,0,F,6,CC,79,2.82,3.56,-
23,2314022,5,CD,6,CC,9,AB,6,CC,8,BB,7,BC,4,DD,6,CC,8,BB,175,6.25,6.18,-
24,2314023,8,BB,8,BB,9,AB,10,AA,8,BB,7,BC,5,CD,5,CD,9,AB,206,7.36,7.47,-
25,2314024,9,AB,8,BB,9,AB,8,BB,8,BB,9,AB,7,BC,9,AB,9,AB,235,8.39,8.64,-
26,2314025,8,BB,8,BB,9,AB,9,AB,8,BB,6,CC,5,CD,7,BC,9,AB,207,7.39,7.93,-
27,2314026,9,AB,9,AB,10,AA,9,AB,8,BB,10,AA,7,BC,9,AB,10,AA,250,8.93,8.75,-
28,2314027,7,BC,7,BC,9,AB,8,BB,8,BB,7,BC,6,CC,7,BC,10,AA,207,7.39,7.16,-
29,2314028,7,BC,7,BC,8,BB,8,BB,9,AB,7,BC,4,DD,5,CD,8,BB,187,6.68,6.96,-
30,2314029,7,BC,5,CD,9,AB,8,BB,9,AB,6,CC,4,DD,5,CD,9,AB,179,6.39,6.91,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
31,2314030,7,BC,9,AB,9,AB,8,BB,10,AA,10,AA,5,CD,8,BB,9,AB,229,8.18,8.6,-
32,2314031,6,CC,7,BC,9,AB,7,BC,8,BB,9,AB,0,F,7,BC,9,AB,183,6.54,7.09,-
33,2314032,7,BC,8,BB,9,AB,9,AB,8,BB,8,BB,6,CC,8,BB,10,AA,222,7.93,8.04,-
34,2314033,6,CC,5,CD,9,AB,5,CD,8,BB,6,CC,5,CD,5,CD,9,AB,169,6.04,6.58,-
35,2314034,8,BB,7,BC,9,AB,9,AB,8,BB,7,BC,5,CD,6,CC,10,AA,205,7.32,7.73,-
36,2314035,8,BB,9,AB,9,AB,9,AB,8,BB,8,BB,5,CD,8,BB,9,AB,223,7.96,7.93,-
37,2314036,7,BC,9,AB,9,AB,8,BB,8,BB,9,AB,5,CD,9,AB,10,AA,227,8.11,8.44,-
38,2314037,7,BC,10,AA,9,AB,8,BB,8,BB,8,BB,5,CD,9,AB,10,AA,227,8.11,8.44,-
39,2314038,7,BC,7,BC,9,AB,8,BB,8,BB,7,BC,5,CD,7,BC,10,AA,203,7.25,8.18,-
40,2314040,7,BC,7,BC,9,AB,7,BC,9,AB,8,BB,6,CC,7,BC,9,AB,208,7.43,7.36,-
41,2314041,7,BC,7,BC,9,AB,8,BB,9,AB,7,BC,6,CC,6,CC,10,AA,205,7.32,7.55,-
42,2314042,6,CC,4,DD,9,AB,8,BB,9,AB,5,CD,4,DD,4,DD,8,BB,162,5.79,5.4,-
43,2314043,6,CC,7,BC,9,AB,7,BC,9,AB,7,BC,5,CD,4,DD,7,BC,181,6.46,6.8,-
44,2314044,9,AB,9,AB,9,AB,9,AB,9,AB,8,BB,7,BC,8,BB,9,AB,236,8.43,8.75,-
45,2314045,9,AB,7,BC,9,AB,9,AB,9,AB,8,BB,5,CD,6,CC,10,AA,214,7.64,8.13,-
46,2314046,6,CC,8,BB,9,AB,6,CC,9,AB,8,BB,5,CD,6,CC,9,AB,198,7.07,7.85,-
47,2314047,7,BC,7,BC,9,AB,9,AB,8,BB,8,BB,7,BC,6,CC,10,AA,214,7.64,7.73,-
48,2314048,6,CC,7,BC,10,AA,9,AB,8,BB,10,AA,7,BC,7,BC,9,AB,223,7.96,8,-
49,2314049,6,CC,8,BB,9,AB,8,BB,8,BB,7,BC,7,BC,7,BC,9,AB,210,7.50,7.8,-
50,2314050,6,CC,8,BB,9,AB,9,AB,9,AB,10,AA,0,F,7,BC,9,AB,199,7.11,7.64,-
51,2314051,7,BC,9,AB,9,AB,9,AB,9,AB,8,BB,6,CC,7,BC,9,AB,222,7.93,8.16,-
52,2314052,8,BB,7,BC,9,AB,8,BB,8,BB,8,BB,4,DD,7,BC,9,AB,204,7.29,7.22,-
53,2314054,8,BB,8,BB,9,AB,9,AB,9,AB,8,BB,7,BC,9,AB,9,AB,233,8.32,8.33,-
54,2314055,7,BC,7,BC,9,AB,9,AB,9,AB,8,BB,5,CD,9,AB,10,AA,220,7.86,7.87,-
55,2314056,9,AB,7,BC,9,AB,8,BB,8,BB,7,BC,6,CC,7,BC,9,AB,211,7.54,7.38,-
56,2314057,8,BB,6,CC,10,AA,8,BB,7,BC,6,CC,5,CD,7,BC,9,AB,196,7.00,6.98,-
57,2314058,6,CC,9,AB,10,AA,8,BB,7,BC,10,AA,7,BC,8,BB,8,BB,228,8.14,8.25,-
58,2314059,8,BB,8,BB,10,AA,10,AA,7,BC,10,AA,6,CC,7,BC,9,AB,230,8.21,8.53,-
59,2314060,8,BB,8,BB,9,AB,9,AB,7,BC,8,BB,6,CC,9,AB,9,AB,225,8.04,7.65,-
60,2314061,7,BC,6,CC,9,AB,8,BB,9,AB,7,BC,4,DD,6,CC,9,AB,191,6.82,6.82,-
61,2314062,9,AB,9,AB,10,AA,10,AA,9,AB,10,AA,9,AB,9,AB,10,AA,263,9.39,9.4,-
62,2314063,9,AB,9,AB,9,AB,9,AB,10,AA,7,BC,6,CC,7,BC,10,AA,228,8.14,8.47,-
63,2314064,9,AB,10,AA,9,AB,10,AA,9,AB,9,AB,8,BB,9,AB,10,AA,257,9.18,9.16,-
64,2314065,7,BC,5,CD,9,AB,9,AB,9,AB,8,BB,0,F,5,CD,8,BB,172,6.14,5.87,-
65,2314066,8,BB,8,BB,10,AA,9,AB,9,AB,8,BB,5,CD,8,BB,10,AA,225,8.04,8.22,-
66,2314067,8,BB,8,BB,9,AB,10,AA,9,AB,9,AB,6,CC,9,AB,10,AA,238,8.50,8.53,-
67,2314068,6,CC,8,BB,9,AB,9,AB,9,AB,9,AB,7,BC,7,BC,8,BB,221,7.89,8.04,-
68,2314069,7,BC,9,AB,9,AB,9,AB,9,AB,10,AA,7,BC,7,BC,10,AA,236,8.43,8.42,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
69,2314070,7,BC,6,CC,9,AB,7,BC,9,AB,10,AA,5,CD,7,BC,8,BB,206,7.36,7.33,-
70,2314071,7,BC,8,BB,9,AB,10,AA,9,AB,9,AB,6,CC,7,BC,10,AA,227,8.11,8.13,-
71,2314072,5,CD,4,DD,9,AB,8,BB,9,AB,5,CD,0,F,0,F,6,CC,123,4.39,4.87,-
72,2314073,7,BC,6,CC,9,AB,9,AB,9,AB,9,AB,4,DD,5,CD,7,BC,194,6.93,7.53,-
73,2314074,5,CD,6,CC,9,AB,8,BB,9,AB,6,CC,4,DD,6,CC,9,AB,181,6.46,6.51,-
74,2314075,7,BC,6,CC,9,AB,9,AB,9,AB,6,CC,4,DD,5,CD,9,AB,186,6.64,6.82,-
75,2314076,6,CC,8,BB,9,AB,9,AB,10,AA,9,AB,8,BB,7,BC,9,AB,229,8.18,8.25,-
76,2314077,8,BB,8,BB,10,AA,10,AA,9,AB,8,BB,6,CC,8,BB,10,AA,232,8.29,8.33,-
77,2314078,6,CC,7,BC,9,AB,9,AB,10,AA,8,BB,5,CD,8,BB,10,AA,215,7.68,7.38,-
78,2314079,8,BB,8,BB,9,AB,9,AB,9,AB,10,AA,5,CD,8,BB,10,AA,231,8.25,8.69,-
79,2314080,7,BC,7,BC,9,AB,9,AB,10,AA,9,AB,6,CC,7,BC,8,BB,218,7.79,7.53,-
80,2314081,5,CD,4,DD,9,AB,7,BC,9,AB,4,DD,0,F,4,DD,6,CC,132,4.71,4.85,-
81,2314082,7,BC,6,CC,9,AB,10,AA,9,AB,8,BB,4,DD,6,CC,9,AB,201,7.18,7.35,-
82,2314083,10,AA,9,AB,9,AB,9,AB,9,AB,10,AA,4,DD,8,BB,9,AB,235,8.39,8.53,-
83,2314084,7,BC,7,BC,9,AB,9,AB,9,AB,8,BB,4,DD,7,BC,10,AA,208,7.43,7.47,-
84,2314085,7,BC,9,AB,10,AA,10,AA,9,AB,9,AB,5,CD,7,BC,10,AA,229,8.18,8.24,-
85,2314086,8,BB,7,BC,9,AB,8,BB,9,AB,9,AB,5,CD,6,CC,8,BB,208,7.43,7.44,-
86,2314087,8,BB,9,AB,9,AB,9,AB,9,AB,9,AB,6,CC,7,BC,9,AB,229,8.18,7.65,-
87,2314088,10,AA,7,BC,8,BB,8,BB,9,AB,9,AB,5,CD,7,BC,10,AA,220,7.86,7.82,-
88,2314089,8,BB,8,BB,8,BB,8,BB,8,BB,8,BB,5,CD,8,BB,10,AA,216,7.71,7.56,-
89,2314090,7,BC,7,BC,8,BB,8,BB,8,BB,9,AB,6,CC,7,BC,9,AB,211,7.54,6.96,-
90,2314091,9,AB,6,CC,9,AB,9,AB,8,BB,8,BB,8,BB,8,BB,10,AA,228,8.14,7.31,-
91,2314092,9,AB,9,AB,9,AB,10,AA,8,BB,8,BB,7,BC,9,AB,10,AA,243,8.68,8.49,-
92,2314093,10,AA,7,BC,9,AB,9,AB,8,BB,9,AB,7,BC,9,AB,10,AA,239,8.54,8.33,-
93,2314094,8,BB,9,AB,9,AB,9,AB,8,BB,9,AB,7,BC,8,BB,9,AB,235,8.39,8.4,-
94,2314095,10,AA,7,BC,9,AB,9,AB,9,AB,9,AB,5,CD,9,AB,10,AA,233,8.32,8.15,-
95,2314096,8,BB,9,AB,9,AB,9,AB,8,BB,10,AA,9,AB,10,AA,10,AA,257,9.18,8.8,-
96,2314097,9,AB,8,BB,9,AB,9,AB,8,BB,9,AB,7,BC,9,AB,10,AA,240,8.57,8.49,-
97,2314098,10,AA,9,AB,10,AA,10,AA,8,BB,10,AA,8,BB,10,AA,10,AA,264,9.43,9.09,-
98,2314099,9,AB,6,CC,9,AB,9,AB,8,BB,7,BC,4,DD,6,CC,10,AA,200,7.14,6.35,-
99,2314100,9,AB,9,AB,9,AB,9,AB,8,BB,10,AA,6,CC,7,BC,10,AA,236,8.43,7.91,-
100,2314101,9,AB,9,AB,10,AA,9,AB,7,BC,10,AA,8,BB,10,AA,10,AA,256,9.14,9.25,-
101,2314102,7,BC,5,CD,9,AB,8,BB,7,BC,4,DD,0,F,5,CD,8,BB,149,5.32,5.29,-
102,2314103,8,BB,5,CD,9,AB,8,BB,7,BC,6,CC,4,DD,6,CC,9,AB,182,6.50,6.22,-
103,2314104,10,AA,9,AB,9,AB,8,BB,7,BC,10,AA,6,CC,9,AB,9,AB,240,8.57,8.31,-
104,2314105,8,BB,7,BC,10,AA,9,AB,7,BC,8,BB,4,DD,7,BC,9,AB,207,7.39,7.2,-
105,2314106,7,BC,8,BB,10,AA,9,AB,8,BB,10,AA,7,BC,10,AA,10,AA,244,8.71,8.76,-
106,2314107,9,AB,8,BB,9,AB,9,AB,8,BB,9,AB,5,CD,8,BB,10,AA,228,8.14,7.96,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
107,2314108,7,BC,8,BB,9,AB,8,BB,8,BB,9,AB,5,CD,9,AB,10,AA,223,7.96,7.98,-
108,2314109,5,CD,6,CC,9,AB,8,BB,8,BB,7,BC,0,F,6,CC,8,BB,165,5.89,5.89,-
109,2314110,7,BC,9,AB,10,AA,8,BB,8,BB,10,AA,7,BC,10,AA,9,AB,243,8.68,8.62,-
110,2314111,7,BC,8,BB,10,AA,9,AB,8,BB,10,AA,5,CD,8,BB,9,AB,226,8.07,8.27,-
111,2314112,7,BC,7,BC,9,AB,8,BB,8,BB,7,BC,6,CC,8,BB,8,BB,207,7.39,7.82,-
112,2314113,8,BB,8,BB,8,BB,8,BB,8,BB,10,AA,7,BC,8,BB,8,BB,228,8.14,7.8,-
113,2314114,10,AA,7,BC,9,AB,8,BB,8,BB,8,BB,7,BC,8,BB,10,AA,228,8.14,7.73,-
114,2314115,7,BC,7,BC,10,AA,9,AB,8,BB,8,BB,5,CD,9,AB,9,AB,218,7.79,7.8,-
115,2314116,7,BC,7,BC,9,AB,9,AB,8,BB,7,BC,0,F,6,CC,8,BB,178,6.36,6.4,-
116,2314117,5,CD,5,CD,8,BB,9,AB,6,CC,5,CD,0,F,5,CD,7,BC,144,5.14,5.71,-
117,2314118,8,BB,8,BB,9,AB,9,AB,8,BB,8,BB,7,BC,10,AA,9,AB,235,8.39,8.2,-
118,2314119,6,CC,4,DD,8,BB,6,CC,6,CC,6,CC,0,F,6,CC,7,BC,142,5.07,5.18,-
119,2314120,9,AB,7,BC,9,AB,9,AB,8,BB,6,CC,4,DD,7,BC,9,AB,202,7.21,7.15,-
120,2314121,7,BC,7,BC,9,AB,9,AB,8,BB,7,BC,5,CD,6,CC,9,AB,200,7.14,6.95,-
121,2314122,7,BC,8,BB,9,AB,8,BB,8,BB,8,BB,8,BB,8,BB,9,AB,225,8.04,8.36,-
122,2314123,8,BB,6,CC,9,AB,8,BB,8,BB,8,BB,6,CC,7,BC,8,BB,206,7.36,6.87,-
123,2314124,10,AA,6,CC,9,AB,9,AB,8,BB,9,AB,5,CD,8,BB,10,AA,223,7.96,8.49,-
124,2314125,9,AB,6,CC,9,AB,9,AB,9,AB,7,BC,5,CD,7,BC,8,BB,206,7.36,7.42,-
125,2314126,8,BB,7,BC,9,AB,7,BC,9,AB,8,BB,7,BC,7,BC,10,AA,217,7.75,7.76,-
126,2314127,8,BB,9,AB,9,AB,8,BB,9,AB,9,AB,8,BB,7,BC,9,AB,234,8.36,8.13,-
127,2314128,7,BC,6,CC,8,BB,8,BB,9,AB,7,BC,6,CC,7,BC,7,BC,197,7.04,7.07,-
128,2314129,6,CC,8,BB,9,AB,9,AB,9,AB,7,BC,6,CC,7,BC,9,AB,211,7.54,7.36,-
129,2314130,8,BB,8,BB,9,AB,9,AB,9,AB,7,BC,5,CD,7,BC,10,AA,215,7.68,7.56,-
130,2314131,7,BC,8,BB,9,AB,8,BB,9,AB,8,BB,4,DD,5,CD,10,AA,201,7.18,7.53,-
