Slno,Regn. No.,"CE
102",(3),"CH
101",(4),"CH
111",(2),"CS
101",(4),"CS
111",(2),EAA01,(0),EAA02,(0),"EC
101",(4),"EC
111",(2),"MA
102",(4),"ME
111",(2),GP,SGPA,CGPA,EAA
56,2311056,7,BC,6,CC,10,AA,7,BC,7,BC,,,,,7,BC,9,AB,9,AB,9,AB,207,7.67,7.4,-
57,2311057,7,BC,7,BC,9,AB,8,BB,10,AA,,,,,6,CC,8,BB,7,BC,9,AB,205,7.59,6.96,-
58,2311059,9,AB,8,BB,10,AA,5,CD,6,CC,,,,,7,BC,9,AB,7,BC,8,BB,201,7.44,6.78,-
59,2311060,8,BB,9,AB,10,AA,7,BC,8,BB,,,,,8,BB,10,AA,8,BB,10,AA,228,8.44,7.55,-
60,2311061,7,BC,7,BC,10,AA,9,AB,8,BB,,,,,8,BB,9,AB,9,AB,8,BB,223,8.26,7.93,-
61,2311062,9,AB,8,BB,9,AB,7,BC,9,AB,,,,,8,BB,9,AB,7,BC,7,BC,215,7.96,7.98,-
62,2311063,8,BB,7,BC,10,AA,9,AB,9,AB,,,,,7,BC,10,AA,8,BB,9,AB,224,8.30,7.84,-
63,2311064,8,BB,7,BC,10,AA,6,CC,8,BB,,,,,7,BC,10,AA,7,BC,9,AB,206,7.63,6.84,-
64,2311065,6,CC,5,CD,10,AA,5,CD,8,BB,,,,,5,CD,8,BB,4,DD,9,AB,164,6.07,5.91,-
65,2311066,8,BB,8,BB,9,AB,5,CD,7,BC,,,,,7,BC,9,AB,8,BB,9,AB,204,7.56,7.29,-
66,2311067,7,BC,7,BC,10,AA,5,CD,6,CC,,,,,6,CC,6,CC,7,BC,6,CC,177,6.56,6.53,-
67,2311068,9,AB,9,AB,10,AA,7,BC,7,BC,,,,,8,BB,9,AB,9,AB,10,AA,231,8.56,8.25,-
Slno,Regn. No.,CE102,(3),CH101,(4),CH111,(2),CS101,(4),CS111,(2),EAA01,(0),EAA02,(0),EC101,(4),EC111,(2),MA102,(4),ME111,(2),GP,SGPA,CGPA,EAA
68,2311069,6,CC,6,CC,9,AB,5,CD,6,CC,,,,,5,CD,8,BB,5,CD,7,BC,162,6.00,6.09,-
69,2311070,8,BB,9,AB,9,AB,8,BB,10,AA,,,,,9,AB,9,AB,9,AB,7,BC,234,8.67,8.36,-
70,2311071,8,BB,7,BC,9,AB,9,AB,9,AB,,,,,8,BB,10,AA,8,BB,8,BB,224,8.30,7.05,-
71,2311072,9,AB,9,AB,9,AB,7,BC,7,BC,,,,,8,BB,10,AA,7,BC,8,BB,219,8.11,7.82,-
72,2311073,9,AB,8,BB,10,AA,6,CC,8,BB,,,,,7,BC,9,AB,7,BC,9,AB,211,7.81,7.58,-
73,2311074,8,BB,8,BB,9,AB,6,CC,9,AB,,,,,5,CD,8,BB,6,CC,9,AB,194,7.19,6.82,-
74,2311075,8,BB,6,CC,10,AA,6,CC,9,AB,,,,,6,CC,9,AB,5,CD,9,AB,190,7.04,6.55,-
75,2311076,8,BB,6,CC,10,AA,7,BC,8,BB,,,,,5,CD,8,BB,6,CC,9,AB,190,7.04,5.98,-
76,2311077,9,AB,8,BB,10,AA,6,CC,8,BB,,,,,7,BC,8,BB,7,BC,8,BB,207,7.67,7.31,-
77,2311078,7,BC,7,BC,9,AB,8,BB,7,BC,,,,,7,BC,7,BC,9,AB,8,BB,207,7.67,7.51,-
78,2311079,10,AA,9,AB,9,AB,7,BC,8,BB,,,,,8,BB,7,BC,9,AB,10,AA,230,8.52,8.38,-
79,2311080,8,BB,8,BB,9,AB,7,BC,10,AA,,,,,7,BC,9,AB,7,BC,10,AA,216,8.00,7.62,-
80,2311081,7,BC,6,CC,9,AB,5,CD,8,BB,,,,,5,CD,8,BB,5,CD,7,BC,169,6.26,5.84,-
81,2311082,8,BB,7,BC,9,AB,7,BC,9,AB,,,,,6,CC,8,BB,7,BC,7,BC,198,7.33,7.18,-
82,2311083,7,BC,6,CC,10,AA,8,BB,9,AB,,,,,5,CD,10,AA,5,CD,7,BC,189,7.00,6.4,-
83,2311084,8,BB,7,BC,9,AB,8,BB,9,AB,,,,,7,BC,9,AB,7,BC,7,BC,208,7.70,7.2,-
