regn_no,semester,GP,SGPA,CGPA,EAA
2315003,5,245.0,8.75,7.78,Satisfactory
2315004,5,219.0,7.82,6.14,Satisfactory
2315005,5,278.0,9.93,9.16,Satisfactory
2315006,5,244.0,8.71,7.0,Satisfactory
2315007,5,277.0,9.89,8.91,Satisfactory
2315008,5,245.0,8.75,8.86,Satisfactory
2315009,5,276.0,9.86,9.08,Satisfactory
2315010,5,255.0,9.11,8.97,Satisfactory
2315011,5,253.0,9.04,8.59,Satisfactory
2315012,5,250.0,8.93,8.33,Satisfactory
2315014,5,238.0,8.5,8.04,Satisfactory
2315015,5,206.0,7.36,7.79,Satisfactory
2315016,5,254.0,9.07,8.23,Satisfactory
2315017,5,246.0,8.79,8.2,Satisfactory
2315018,5,244.0,8.71,7.49,Satisfactory
2315019,5,242.0,8.64,8.2,Satisfactory
2315020,5,234.0,8.36,8.1,Satisfactory
2315021,5,243.0,8.68,8.42,Satisfactory
2315022,5,245.0,8.75,8.14,Satisfactory
2315023,5,260.0,9.29,8.18,Satisfactory
2315024,5,240.0,8.57,7.5,Satisfactory
2315025,5,257.0,9.18,8.62,Satisfactory
2315026,5,193.0,6.89,6.74,Satisfactory
2315027,5,255.0,9.11,7.57,Satisfactory
2315028,5,272.0,9.71,8.93,Satisfactory
2315029,5,198.0,7.07,6.89,Satisfactory
2315030,5,249.0,8.89,7.24,Satisfactory
2315032,5,241.0,8.61,8.42,Satisfactory
2315033,5,207.0,7.39,6.64,Satisfactory
2315034,5,260.0,9.29,8.78,Satisfactory
2315035,5,249.0,8.89,7.62,Satisfactory
2315036,5,256.0,9.14,8.04,Satisfactory
2315037,5,251.0,8.96,8.43,Satisfactory
2315038,5,249.0,8.89,8.39,Satisfactory
2315039,5,252.0,9.0,9.12,Satisfactory
2315040,5,258.0,9.21,8.9,Satisfactory
2315041,5,277.0,9.89,8.96,Satisfactory
2315042,5,250.0,8.93,8.26,Satisfactory
2315044,5,182.0,6.5,6.14,Satisfactory
2315045,5,224.0,8.0,7.75,Satisfactory
2315046,5,256.0,9.14,8.43,Satisfactory
2315047,5,201.0,7.18,6.81,Satisfactory
2315048,5,252.0,9.0,7.95,Satisfactory
2315049,5,247.0,8.82,7.38,Satisfactory
2315050,5,243.0,8.68,8.53,Satisfactory
2315051,5,253.0,9.04,8.64,Satisfactory
2315053,5,256.0,9.14,7.67,Satisfactory
2315054,5,245.0,8.75,7.13,Satisfactory
2315055,5,255.0,9.11,8.92,Satisfactory
2315056,5,252.0,9.0,8.47,Satisfactory
2315057,5,254.0,9.07,8.94,Satisfactory
2315058,5,247.0,8.82,8.38,Satisfactory
2315059,5,248.0,8.86,7.91,Satisfactory
2315060,5,248.0,8.86,8.17,Satisfactory
2315061,5,213.0,7.61,8.33,Satisfactory
2315062,5,188.0,6.71,6.49,Satisfactory
2315063,5,263.0,9.39,8.46,Satisfactory
2315064,5,251.0,8.96,9.12,Satisfactory
2315065,5,241.0,8.61,8.23,Satisfactory
2315066,5,241.0,8.61,8.73,Satisfactory
2315067,5,201.0,7.18,7.27,Satisfactory
2315068,5,216.0,7.71,6.73,Satisfactory
2315069,5,230.0,8.21,7.88,Satisfactory
2315070,5,268.0,9.57,9.19,Satisfactory
2315072,5,228.0,8.14,7.23,Satisfactory
2315073,5,243.0,8.68,7.85,Satisfactory
2315074,5,235.0,8.39,8.01,Satisfactory
2315075,5,214.0,7.64,7.83,Satisfactory
2315076,5,249.0,8.89,8.07,Satisfactory
2315077,5,254.0,9.07,8.56,Satisfactory
2315078,5,250.0,8.93,8.54,Satisfactory
2315079,5,201.0,7.18,6.76,Satisfactory
2315080,5,234.0,8.36,7.39,Satisfactory
2315081,5,244.0,8.71,8.28,Satisfactory
2315082,5,225.0,8.04,7.38,Satisfactory
2315084,5,258.0,9.21,8.32,Satisfactory
2315085,5,252.0,9.0,8.29,Satisfactory
2315086,5,252.0,9.0,8.09,Satisfactory
2315087,5,252.0,9.0,7.78,Satisfactory
2315088,5,233.0,8.32,8.04,Satisfactory
2315089,5,235.0,8.39,7.25,Satisfactory
2315090,5,263.0,9.39,8.74,Satisfactory
2315091,5,249.0,8.89,8.33,Satisfactory
2315092,5,217.0,7.75,7.76,Satisfactory
2315093,5,236.0,8.43,8.16,Satisfactory
2315094,5,209.0,7.46,6.96,Satisfactory
2315095,5,221.0,7.89,7.75,Satisfactory
2315097,5,265.0,9.46,9.13,Satisfactory
2315098,5,256.0,9.14,8.52,Satisfactory
2315099,5,226.0,8.07,7.66,Satisfactory
2315100,5,195.0,6.96,6.01,Satisfactory
2315101,5,270.0,9.64,9.12,Satisfactory
2315102,5,238.0,8.5,8.72,Satisfactory
2315103,5,262.0,9.36,8.96,Satisfactory
2315104,5,277.0,9.89,9.03,Satisfactory
2315105,5,263.0,9.39,9.21,Satisfactory
2315106,5,255.0,9.11,8.96,Satisfactory
2315107,5,249.0,8.89,8.71,Satisfactory
2315108,5,254.0,9.07,8.84,Satisfactory
2316001,5,213.0,7.61,7.43,Satisfactory
2316002,5,197.0,7.04,6.62,Satisfactory
2316003,5,209.0,7.46,7.3,Satisfactory
2316004,5,233.0,8.32,7.91,Satisfactory
2316005,5,46.0,1.64,4.07,Satisfactory
2316006,5,48.0,1.71,2.65,Satisfactory
2316007,5,192.0,6.86,7.33,Satisfactory
2316008,5,249.0,8.89,8.78,Satisfactory
2316009,5,249.0,8.89,8.17,Satisfactory
2316011,5,197.0,7.04,7.7,Satisfactory
2316012,5,187.0,6.68,6.54,Satisfactory
2316014,5,194.0,6.93,6.2,Satisfactory
2316015,5,213.0,7.61,6.81,Satisfactory
2316018,5,198.0,7.07,7.57,Satisfactory
2316019,5,211.0,7.54,7.02,Satisfactory
2316020,5,237.0,8.46,8.59,Satisfactory
2316021,5,226.0,8.07,7.66,Satisfactory
2316023,5,202.0,7.21,7.06,Satisfactory
2316024,5,208.0,7.43,7.33,Satisfactory
2316025,5,124.0,4.43,4.9,Satisfactory
2316026,5,233.0,8.32,7.88,Satisfactory
2316027,5,232.0,8.29,7.81,Satisfactory
2316028,5,223.0,7.96,7.83,Satisfactory
2316029,5,201.0,7.18,6.85,Satisfactory
2316030,5,237.0,8.46,8.28,Satisfactory
2316031,5,240.0,8.57,8.29,Satisfactory
2316032,5,168.0,6.0,6.31,Satisfactory
2316033,5,166.0,5.93,6.27,Satisfactory
2316034,5,200.0,7.14,7.13,Satisfactory
2316035,5,212.0,7.57,7.42,Satisfactory
2316036,5,255.0,9.11,8.53,Satisfactory
2316037,5,195.0,6.96,6.57,Satisfactory
2316038,5,220.0,7.86,7.54,Satisfactory
2316039,5,237.0,8.46,7.85,Satisfactory
2316040,5,178.0,6.36,5.86,Satisfactory
2316041,5,131.0,4.68,5.78,Satisfactory
2316043,5,148.0,5.29,6.09,Satisfactory
2316044,5,234.0,8.36,7.65,Satisfactory
2316047,5,212.0,7.57,7.72,Satisfactory
2316048,5,238.0,8.5,8.07,Satisfactory
2316049,5,207.0,7.39,7.38,Satisfactory
2316050,5,166.0,5.93,6.35,Satisfactory
2316051,5,227.0,8.11,8.0,Satisfactory
2316052,5,262.0,9.36,8.41,Satisfactory
2316053,5,214.0,7.64,7.95,Satisfactory
2316054,5,229.0,8.18,8.07,Satisfactory
